#name,ra,dec,z_lens,z_source,zl_phot,zs_phot,Rein,lens_mag_i,source_mag_i,type,discovery,grade,Reference
023740-030446,39.420295,-3.079663,-99.000,-99.000,0.55,-99.00,-99.,19.86,-99.00,GG,V,C,SuGOHI6
023742-052731,39.426282,-5.458872,-99.000,-99.000,0.53,-99.00,-99.,19.55,-99.00,GG,V,C,SuGOHI6
023742-052732,39.425437,-5.458917,-99.000,-99.000,0.52,-99.00,-99.,19.72,-99.00,GG,V,C,SuGOHI6
023744-052423,39.434775,-5.406537,0.356,-99.000,-99.00,-99.00,-99.,17.82,23.72,GG,YC,C,SuGOHI1
023759-030657,39.498033,-3.116105,0.476,-99.000,-99.00,-99.00,-99.,19.39,24.22,GG,Y,C,SuGOHI2
023819-031746,39.581800,-3.296170,-99.000,-99.000,-99.00,-99.00,-99.,-99.,-99.00,GG,CNN,C,SuGOHI10
023823-020507,39.597690,-2.085490,-99.000,-99.000,-99.00,-99.00,-99.,-99.,-99.00,GG,CNN,C,SuGOHI10
023829-062542,39.622616,-6.428580,0.487,-99.000,-99.00,-99.00,-99.,18.46,22.10,GG,YV,C,"SuGOHI1 SuGOHI6"
023830-045643,39.626630,-4.945480,-99.000,-99.000,-99.00,-99.00,-99.,-99.,-99.00,GG,CNN,C,SuGOHI10
023832-044226,39.634793,-4.707446,-99.000,-99.000,0.76,-99.00,-99.,19.91,-99.00,GG,VCN,C,"SuGOHI6 SuGOHI10"
023832-045600,39.635769,-4.933535,-99.000,-99.000,0.40,-99.00,-99.,18.73,-99.00,GG,V,C,SuGOHI6
023834-054939,39.641733,-5.827643,-99.000,-99.000,0.27,-99.00,-99.,18.16,-99.00,GG,V,C,SuGOHI6
023836-033522,39.652780,-3.589640,-99.000,-99.000,-99.00,-99.00,-99.,-99.,-99.00,GG,CNN,C,SuGOHI10
023843-053738,39.681400,-5.627300,0.358,-99.000,0.34,0.60,-99.,18.35,19.50,GG,V,C,SuGOHI5
023929-041923,39.870961,-4.323193,0.592,-99.000,-99.00,-99.00,-99.,19.20,21.91,GG,Y,C,SuGOHI2
023938-035617,39.910652,-3.938300,0.601,-99.000,-99.00,-99.00,-99.,19.50,22.24,GG,Y,C,SuGOHI2
023941-043741,39.923500,-4.628200,-99.000,-99.000,0.31,-99.00,-99.,18.95,-99.00,GG,V,C,SuGOHI5
083035+005902,127.646370,0.983980,-99.000,-99.000,-99.00,-99.00,-99.,-99.,-99.00,GG,CNN,C,SuGOHI10
083155+020442,127.980164,2.078417,0.496,-99.000,-99.00,-99.00,-99.,-99.,-99.00,GG,E,C,SuGOHI1
083212+010935,128.053280,1.159810,-99.000,-99.000,-99.00,-99.00,-99.,-99.,-99.00,GG,CNN,C,SuGOHI10
083538+022504,128.909807,2.417860,-99.000,-99.000,0.94,-99.00,-99.,nan,-99.00,GG,V,C,SuGOHI6
083613+004943,129.057150,0.828700,-99.000,-99.000,-99.00,-99.00,-99.,-99.,-99.00,GG,CNN,C,SuGOHI10
083654+010152,129.225487,1.031237,0.568,-99.000,-99.00,-99.00,-99.,19.18,21.43,GG,Y,C,SuGOHI1
